City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Georgetown,MY,2021-11-16 02:06:56,5.4112,100.3354,84.13,80,20,4.61
163,Aguada De Pasajeros,CU,2021-11-16 02:06:56,22.385,-80.8508,73.54,86,98,8.37
164,Aban,RU,2021-11-16 02:06:56,56.67,96.06,24.53,89,100,10.83
165,San Cristobal,VE,2021-11-16 02:06:57,7.7669,-72.225,69.39,82,90,0.67
166,Saint-Augustin,CA,2021-11-16 02:06:57,51.226,-58.6502,38.32,97,100,14.76
167,Nieves,PH,2021-11-16 02:06:57,15.3274,120.9485,86.45,62,60,4.9
168,Batagay-Alyta,RU,2021-11-16 02:06:58,67.8006,130.4114,-15.47,89,26,5.12
169,Kandrian,PG,2021-11-16 02:06:58,-6.2167,149.55,83.19,78,100,5.37
170,San Rafael,AR,2021-11-16 02:06:58,-34.6177,-68.3301,58.32,20,0,20.29
171,Paita,PE,2021-11-16 02:06:59,-5.0892,-81.1144,63.37,85,87,11.27
172,Upernavik,GL,2021-11-16 02:06:59,72.7868,-56.1549,0.86,69,10,7.07
173,Bonthe,SL,2021-11-16 02:07:00,7.5264,-12.505,78.4,81,27,3.0
174,Plaster Rock,CA,2021-11-16 02:07:00,46.9065,-67.39,34.32,98,100,13.71
175,Jumla,NP,2021-11-16 02:03:04,29.2747,82.1838,44.51,20,0,3.56
176,Ahipara,NZ,2021-11-16 02:07:00,-35.1667,173.1667,68.77,67,54,11.81
177,Gat,IL,2021-11-16 02:07:01,31.61,34.7642,63.39,62,65,0.69
178,Songjianghe,CN,2021-11-16 02:07:01,42.1859,127.479,34.3,45,3,3.78
179,Kandi,BJ,2021-11-16 02:07:02,11.1342,2.9386,76.89,28,93,0.67
180,Atar,MR,2021-11-16 02:07:02,20.5169,-13.0499,78.84,30,100,5.28
181,Puerto Baquerizo Moreno,EC,2021-11-16 02:07:02,-0.9,-89.6,67.95,78,77,11.23
182,Nelson Bay,AU,2021-11-16 02:07:03,-32.7167,152.15,68.77,51,3,14.32
183,Qaanaaq,GL,2021-11-16 02:07:03,77.484,-69.3632,1.9,83,100,9.48
184,Alofi,NU,2021-11-16 02:07:04,-19.0595,-169.9187,82.29,54,40,14.97
185,Koulikoro,ML,2021-11-16 02:07:04,14.0,-7.75,77.23,26,74,7.83
186,Karratha,AU,2021-11-16 02:08:05,-20.7377,116.8463,88.5,24,9,4.61
187,Beloha,MG,2021-11-16 02:08:05,-25.1667,45.05,66.65,83,10,7.76
188,Ormara,PK,2021-11-16 02:08:05,25.2088,64.6357,74.75,28,15,7.72
189,Tuktoyaktuk,CA,2021-11-16 02:08:06,69.4541,-133.0374,3.24,93,87,7.43
190,Aklavik,CA,2021-11-16 02:08:06,68.2191,-135.0107,2.12,93,100,6.98
191,Ponta Do Sol,PT,2021-11-16 02:08:06,32.6667,-17.1,66.83,66,100,4.09
192,Dryden,CA,2021-11-16 02:06:17,49.7833,-92.7503,12.04,97,69,3.94
193,Meulaboh,ID,2021-11-16 02:08:07,4.1363,96.1285,79.66,83,96,4.23
194,Mount Gambier,AU,2021-11-16 02:08:07,-37.8333,140.7667,59.52,45,63,7.31
195,Mizdah,LY,2021-11-16 02:08:08,31.4451,12.9801,57.69,33,0,4.25
196,Carutapera,BR,2021-11-16 02:08:08,-1.195,-46.02,78.3,82,18,6.76
197,Ahraura,IN,2021-11-16 02:08:08,25.0167,83.0167,58.84,55,3,1.79
198,Naze,JP,2021-11-16 02:08:09,28.3667,129.4833,66.45,55,1,9.91
199,Hobart,AU,2021-11-16 02:08:09,-42.8794,147.3294,58.12,62,75,1.99
200,Kajaani,FI,2021-11-16 02:08:09,64.2273,27.7285,37.45,87,90,13.8
